"This file contain descriptions for each gene"  

gene_1	hypothetical protein FLJ22624
gene_162	**tumor necrosis factor receptor superfamily, member 1B
gene_163	caveolin 1, caveolae protein, 22kD
gene_164	hypothetical protein FLJ10956
gene_165	p53-induced protein
gene_166	fibrinogen, B beta polypeptide
gene_167	hypothetical protein MGC4675
gene_168	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)
gene_169	PRO2000 protein
gene_170	complement component 2
gene_171	ladinin 1
gene_172	plasminogen activator, urokinase receptor
gene_173	KIAA0161 gene product
gene_174	ATPase, H+ transporting, lysosomal (vacuolar proton pump), member J
gene_175	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
gene_176	cellular retinoic acid-binding protein 2
gene_177	histone acetyltransferase
gene_178	cellular retinoic acid-binding protein 1
gene_179	contactin associated protein 1
gene_180	ribosomal protein S6
gene_181	monokine induced by gamma interferon
gene_182	**KIAA1538 protein
gene_183	Homo sapiens cDNA FLJ14059 fis, clone HEMBB1000573
gene_184	ectodermal-neural cortex (with BTB-like domain)
gene_185	major histocompatibility complex, class II, DN alpha
gene_186	solute carrier family 2 (facilitated glucose transporter), member 3
gene_187	cadherin 3, type 1, P-cadherin (placental)
gene_188	CEGP1 protein
gene_189	Homo sapiens mRNA from chromosome 5q31-33 region
gene_190	ESTs
gene_191	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
gene_192	amyloid beta precursor protein (cytoplasmic tail)-binding protein 2
gene_193	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)
gene_194	activated p21cdc42Hs kinase
gene_195	neurogranin (protein kinase C substrate, RC3)
gene_196	Homo sapiens mRNA; cDNA DKFZp434N2412 (from clone DKFZp434N2412)
gene_197	fatty acid synthase
gene_198	fatty acid binding protein 4, adipocyte
gene_199	folate receptor 2 (fetal)
gene_200	Human glucose transporter pseudogene
gene_201	Human mRNA for SB classII histocompatibility antigen alpha-chain
gene_202	neuroblastoma (nerve tissue) protein
gene_203	laminin, gamma 1 (formerly LAMB2)
gene_204	ESTs, Weakly similar to Z195_HUMAN ZINC FINGER PROTEIN 195 [H.sapiens]
gene_205	complement component 5
gene_206	carboxypeptidase N, polypeptide 1, 50kD
gene_207	intercellular adhesion molecule 2
gene_208	fibrillin 1 (Marfan syndrome)
gene_209	valyl-tRNA synthetase 2
gene_210	cytochrome P450, subfamily IVB, polypeptide 1
gene_211	catenin (cadherin-associated protein), alpha-like 1
gene_212	collagen, type VI, alpha 1
gene_213	myosin IXA
gene_214	ESTs, Weakly similar to ribosomal protein S6 kinase 3 [H.sapiens]
gene_215	mucin 1, transmembrane
gene_216	hypothetical protein FLJ22390
gene_217	minichromosome maintenance deficient (S. cerevisiae) 4
gene_218	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1
gene_219	plastin 1 (I isoform)
gene_220	kinesin-like 5 (mitotic kinesin-like protein 1)
gene_221	retinol-binding protein 4, plasma
gene_222	ribosomal protein L5
gene_223	ras inhibitor
gene_224	proliferating cell nuclear antigen
gene_225	intercellular adhesion molecule 5, telencephalin
gene_226	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)
gene_227	platelet-derived growth factor receptor, beta polypeptide
gene_228	caveolin 2
gene_229	plexin B1
gene_230	hepsin (transmembrane protease, serine 1)
gene_231	keratin 7
gene_232	ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens]
gene_233	threonyl-tRNA synthetase
gene_234	myosin IE
gene_235	trichorhinophalangeal syndrome I
gene_236	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)
gene_237	**cation-chloride cotransporter-interacting protein
gene_238	sialyltransferase
gene_239	ATP-binding cassette, sub-family C (CFTR/MRP), member 2
gene_240	hypothetical protein
gene_241	collagen, type I, alpha 2
gene_242	general transcription factor IIH, polypeptide 3 (34kD subunit)
gene_243	**Homo sapiens cDNA FLJ14445 fis, clone HEMBB1001294, highly similar to GTP-BINDING PROTEIN TC10
gene_244	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1
gene_245	carcinoembryonic antigen-related cell adhesion molecule 5
gene_246	**Homo sapiens mRNA; cDNA DKFZp434I0812 (from clone DKFZp434I0812); partial cds
gene_247	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
gene_248	chromosome 2 open reading frame 2
gene_249	ras homolog gene family, member H
gene_250	hypothetical protein FLJ00026
gene_251	cell division cycle 4-like
gene_252	S100 calcium-binding protein A8 (calgranulin A)
gene_253	A kinase (PRKA) anchor protein (gravin) 12
gene_254	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)
gene_255	hypothetical protein MGC5350
gene_256	microsomal glutathione S-transferase 1
gene_257	growth factor receptor-bound protein 10
gene_258	cell division cycle 25C
gene_259	macrophage stimulating 1 (hepatocyte growth factor-like)
gene_260	Rho guanine nucleotide exchange factor (GEF) 5
gene_261	**myosin VI
gene_262	grancalcin, EF-hand calcium-binding protein
gene_263	thymopoietin
gene_264	**serine/threonine kinase 15
gene_265	secreted protein, acidic, cysteine-rich (osteonectin)
gene_266	quinoid dihydropteridine reductase
gene_267	Homo sapiens, clone MGC:20120 IMAGE:3677070, mRNA, complete cds
gene_268	chloride channel, nucleotide-sensitive, 1A
gene_269	tight junction protein 2 (zona occludens 2)
gene_270	phospholipase C, epsilon
gene_271	murine leukemia viral (bmi-1) oncogene homolog
gene_272	fibroblast growth factor 7 (keratinocyte growth factor)
gene_273	Novel human gene mapping to chomosome 13
gene_274	**ATP-binding cassette, sub-family C (CFTR/MRP), member 1
gene_275	integral membrane protein 3
gene_276	hypothetical protein FLJ10948
gene_277	ESTs, Highly similar to S94541 1 clone 4-3 [H.sapiens]
gene_278	mitogen-activated protein kinase 13
gene_279	**chitinase 3-like 2
gene_280	eukaryotic translation elongation factor 1 epsilon 1
gene_281	malic enzyme 1, NADP(+)-dependent, cytosolic
gene_282	neuropilin 2
gene_283	KIAA0130 gene product
gene_284	divalent cation tolerant protein CUTA
gene_285	natural killer cell transcript 4
gene_286	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 746039
gene_287	ESTs
gene_288	**coatomer protein complex, subunit beta 2 (beta prime)
gene_289	interferon stimulated gene (20kD)
gene_290	microfibrillar-associated protein 2
gene_291	caldesmon 1
gene_292	membrane-spanning 4-domains, subfamily A, member 4A
gene_293	allograft inflammatory factor 1
gene_294	v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived
gene_295	chromosome segregation 1 (yeast homolog)-like
gene_296	ESTs
gene_297	melan-A
gene_298	AE-binding protein 1
gene_299	transforming growth factor, beta 3
gene_300	islet cell autoantigen 1 (69kD)
gene_301	FK506-binding protein 1A (12kD)
gene_302	lunatic fringe (Drosophila) homolog
gene_303	jagged 1 (Alagille syndrome)
gene_304	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)
gene_305	pituitary tumor-transforming 1
gene_306	growth associated protein 43
gene_307	hypothetical protein FLJ20605
gene_308	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2
gene_309	Kallmann syndrome 1 sequence
gene_310	keratin 18
gene_311	CDC7 (cell division cycle 7, S. cerevisiae, homolog)-like 1
gene_312	granzyme K (serine protease, granzyme 3; tryptase II)
gene_313	ectonucleoside triphosphate diphosphohydrolase 1
gene_314	ESTs
gene_315	bone morphogenetic protein 1
gene_316	synaptic vesicle protein 2B homolog
gene_317	myosin, heavy polypeptide 9, non-muscle
gene_318	hexokinase 1
gene_319	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)
gene_320	protein kinase H11; small stress protein-like protein HSP22
gene_321	hyaluronan-mediated motility receptor (RHAMM)
gene_322	tumor necrosis factor (ligand) superfamily, member 10
gene_323	Rho GTPase activating protein 4
gene_324	neuronal cell adhesion molecule
gene_325	collagen, type XVIII, alpha 1
gene_326	**B-cell CLL/lymphoma 6, member B (zinc finger protein)
gene_327	acyl-Coenzyme A dehydrogenase, short/branched chain
gene_328	Opa-interacting protein 2
gene_329	myosin VI
gene_330	inhibin, beta A (activin A, activin AB alpha polypeptide)
gene_331	baculoviral IAP repeat-containing 5 (survivin)
gene_332	thrombomodulin
gene_333	protein tyrosine phosphatase, receptor type, M
gene_334	ESTs, Weakly similar to ALUB_HUMAN !!!! ALU CLASS B WARNING ENTRY !!! [H.sapiens]
gene_335	inositol 1,4,5-triphosphate receptor, type 2
gene_336	v-myc avian myelocytomatosis viral oncogene homolog 1, lung carcinoma derived
gene_337	hypothetical protein
gene_338	protein tyrosine phosphatase, receptor type, E
gene_339	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)
gene_340	glycoprotein (transmembrane) nmb
gene_341	dermatopontin
gene_342	protocadherin gamma subfamily C, 3
gene_343	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
gene_344	inositol polyphosphate-5-phosphatase, 145kD
gene_346	major histocompatibility complex, class II, DM alpha
gene_347	capping protein (actin filament), gelsolin-like
gene_348	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
gene_349	inositol polyphosphate-4-phosphatase, type II, 105kD
gene_350	mitogen-activated protein kinase 6
gene_351	major histocompatibility complex, class II, DQ alpha 1
gene_352	retinoic acid receptor, beta
gene_353	interleukin 10 receptor, alpha
gene_354	mesoderm specific transcript (mouse) homolog
gene_355	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide, Y chromosome
gene_356	interferon induced transmembrane protein 1 (9-27)
gene_357	lysyl oxidase
gene_358	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
gene_359	ESTs
gene_360	sushi-repeat-containing protein, X chromosome
gene_361	Microfibril-associated glycoprotein-2
gene_362	ESTs
gene_363	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)
gene_364	neuronal Shc adaptor homolog
gene_365	nucleophosmin (nucleolar phosphoprotein B23, numatrin)
gene_366	plasminogen activator, urokinase receptor
gene_367	hypothetical protein FLJ21062
gene_368	nudix (nucleoside diphosphate linked moiety X)-type motif 1
gene_369	ESTs, Moderately similar to PNL2_HUMAN PEANUT-LIKE PROTEIN 2 [H.sapiens]
gene_370	cadherin 13, H-cadherin (heart)
gene_371	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)
gene_372	ESTs
gene_373	tryptophan 2,3-dioxygenase
gene_374	Rho GTPase activating protein 8
gene_375	GDNF family receptor alpha 1
gene_376	signal transducer and activator of transcription 1, 91kD
gene_377	fibrinogen, gamma polypeptide
gene_378	secreted frizzled-related protein 1
gene_379	lysyl oxidase
gene_380	erythrocyte membrane protein band 7.2 (stomatin)
gene_381	step II splicing factor SLU7
gene_382	GATA-binding protein 3
gene_383	hypothetical protein dJ1181N3.1
gene_384	Homo sapiens mRNA; cDNA DKFZp564C2063 (from clone DKFZp564C2063)
gene_385	nuclear factor I/B
gene_386	high-mobility group (nonhistone chromosomal) protein 2
gene_387	integrin, beta 8
gene_388	fatty acid binding protein 7, brain
gene_389	ESTs
gene_390	putative G protein-coupled receptor
gene_391	**eukaryotic translation initiation factor 4A, isoform 1
gene_392	Homo sapiens cDNA: FLJ23538 fis, clone LNG08010, highly similar to BETA2 Human MEN1 region clone epsilon/beta mRNA
gene_393	major histocompatibility complex, class II, DR beta 3
gene_394	CD3G antigen, gamma polypeptide (TiT3 complex)
gene_395	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
gene_396	ornithine decarboxylase 1
gene_397	tissue specific transplantation antigen P35B
gene_398	cadherin 13, H-cadherin (heart)
gene_399	jun B proto-oncogene
gene_400	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
gene_401	protein tyrosine phosphatase, receptor type, E
gene_402	fatty acid amide hydrolase
gene_403	**Human DNA sequence from clone RP4-595C2 on chromosome 1q24.1-25.3 Contains ESTs, STSs and GSSs. Contains the 3' part of the gene for two isoforms of the KIAA0351 protein and the gene for angiopoieti
gene_404	chondroitin sulfate proteoglycan 4 (melanoma-associated)
gene_405	transmembrane, prostate androgen induced RNA
gene_407	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)
gene_408	amyloid beta (A4) precursor-like protein 2
gene_409	hypothetical protein FLJ23189
gene_410	homeo box B6
gene_411	CD5 antigen (p56-62)
gene_412	desmoglein 2
gene_413	insulin-like growth factor 1 (somatomedin C)
gene_414	actin, alpha 2, smooth muscle, aorta
gene_415	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
gene_416	HTPAP protein
gene_417	interleukin 2 receptor, gamma (severe combined immunodeficiency)
gene_418	vav 3 oncogene
gene_419	ESTs, Weakly similar to IRX2_HUMAN IROQUOIS-CLASS HOMEODOMAIN PROTEIN IRX-2 [H.sapiens]
gene_420	early development regulator 2 (homolog of polyhomeotic 2)
gene_421	vasoactive intestinal peptide receptor 1
gene_422	EST, Moderately similar to Cd-7 Metallothionein-2 [H.sapiens]
gene_423	CD3D antigen, delta polypeptide (TiT3 complex)
gene_424	**polymyositis/scleroderma autoantigen 1 (75kD)
gene_425	**DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (S.cerevisiae CHL1-like helicase)
gene_426	CD1C antigen, c polypeptide
gene_427	calcium channel, voltage-dependent, beta 3 subunit
gene_428	ribosomal protein S6
gene_429	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
gene_430	SWAP-70 protein
gene_431	steroidogenic acute regulatory protein related
gene_433	interleukin 15 receptor, alpha
gene_434	adaptor-related protein complex 2, beta 1 subunit
gene_435	carboxylesterase 1 (monocyte/macrophage serine esterase 1)
gene_436	KIAA0914 gene product
gene_437	collagen, type IV, alpha 2
gene_438	ESTs
gene_439	hypothetical protein, expressed in osteoblast
gene_440	**interferon-induced protein 75, 52kD
gene_441	selectin E (endothelial adhesion molecule 1)
gene_442	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)
gene_443	Fc fragment of IgG, receptor, transporter, alpha
gene_444	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNA's)
gene_445	CD53 antigen
gene_446	KIAA0022 gene product
gene_447	ribonuclease, RNase A family, 1 (pancreatic)
gene_448	**Human clone 23614 mRNA sequence
gene_449	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
gene_450	cell division cycle 25B
gene_451	imprinted in Prader-Willi syndrome
gene_452	nel (chicken)-like 2
gene_453	matrix metalloproteinase 16 (membrane-inserted)
gene_454	complement component 7
gene_455	calponin 1, basic, smooth muscle
gene_456	Wiskott-Aldrich syndrome protein interacting protein
gene_457	KIAA0182 protein
gene_458	troponin I, skeletal, fast
gene_459	interferon-induced protein with tetratricopeptide repeats 1
gene_460	homeobox protein from AL590526
gene_461	coagulation factor II (thrombin) receptor
gene_462	hypothetical protein FLJ20116
gene_463	coagulation factor XIII, A1 polypeptide
gene_464	GATA-binding protein 3
gene_465	vitamin D (1,25- dihydroxyvitamin D3) receptor
gene_466	Lysosomal-associated multispanning membrane protein-5
gene_467	Ral guanine nucleotide exchange factor RalGPS1A
gene_468	hypothetical gene BC008967
gene_469	RAD51 (S. cerevisiae) homolog C
gene_470	cadherin 11, type 2, OB-cadherin (osteoblast)
gene_471	cytochrome P450, subfamily XXVIIA (steroid 27-hydroxylase, cerebrotendinous xanthomatosis), polypeptide 1
gene_472	hematopoietic cell-specific Lyn substrate 1
gene_473	LIV-1 protein, estrogen regulated
gene_474	S-adenosylmethionine decarboxylase 1
gene_475	EGL nine (C.elegans) homolog 3
gene_476	dystrobrevin, alpha
gene_477	GABA(A) receptor-associated protein like 1
gene_478	low density lipoprotein receptor (familial hypercholesterolemia)
gene_479	Homo sapiens mRNA; cDNA DKFZp761M0111 (from clone DKFZp761M0111)
gene_480	integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)
gene_481	ribosomal protein S6
gene_482	Homo sapiens mRNA; cDNA DKFZp586J2118 (from clone DKFZp586J2118)
gene_483	glycerol-3-phosphate dehydrogenase 1 (soluble)
gene_484	insulin receptor substrate 1
gene_485	hemoglobin, zeta
gene_486	silver (mouse homolog) like
gene_487	**H.sapiens DMA, DMB, HLA-Z1, IPP2, LMP2, TAP1, LMP7, TAP2, DOB, DQB2 and RING8, 9, 13 and 14 genes
gene_488	integrin, beta 4
gene_489	hypothetical protein MGC14376
gene_490	vimentin
gene_491	hypothetical protein FLJ22021
gene_492	cysteine dioxygenase, type I
gene_493	transforming growth factor, beta-induced, 68kD
gene_494	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)
gene_495	glycerol-3-phosphate dehydrogenase 1 (soluble)
gene_496	synovial sarcoma, X breakpoint 4
gene_497	neutrophil cytosolic factor 1 (47kD, chronic granulomatous disease, autosomal 1)
gene_498	potassium voltage-gated channel, KQT-like subfamily, member 2
gene_499	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
gene_500	aminolevulinate, delta-, synthase 1
gene_501	acyl-Coenzyme A oxidase 2, branched chain
gene_502	RNA binding motif protein 8A
gene_503	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)
gene_504	inter-alpha (globulin) inhibitor, H2 polypeptide
gene_505	laminin, beta 1
gene_506	transforming growth factor, beta 2
gene_507	peroxisome proliferative activated receptor, gamma, coactivator 1
gene_508	frizzled (Drosophila) homolog 8
gene_509	Homo sapiens cDNA: FLJ23371 fis, clone HEP16068, highly similar to HSTFIISH Homo sapiens mRNA for transcription elongation factor TFIIS
gene_510	ecotropic viral integration site 2B
gene_511	coronin, actin-binding protein, 1C
gene_512	L1 cell adhesion molecule (hydrocephalus, stenosis of aqueduct of Sylvius 1, MASA (mental retardation, aphasia, shuffling gait and adducted thumbs) syndrome, spastic paraplegia 1)
gene_513	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)
gene_514	ESTs
gene_515	hypothetical protein FLJ20481
gene_516	serine protease inhibitor, Kunitz type, 2
gene_517	secreted frizzled-related protein 1
gene_518	small proline-rich protein 2C
gene_519	hypothetical protein DKFZp761F2014
gene_520	ESTs
gene_521	carbonic anhydrase XI
gene_522	hypothetical protein DKFZp564K0322
gene_523	E2F transcription factor 3
gene_524	Homo sapiens mRNA; cDNA DKFZp586J2118 (from clone DKFZp586J2118)
gene_525	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)
gene_526	sialyltransferase 8 (alpha-N-acetylneuraminate: alpha-2,8-sialytransferase, GD3 synthase) A
gene_527	cathepsin O
gene_528	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)
gene_529	hypothetical protein FLJ23591
gene_530	laminin, gamma 2 (nicein (100kD), kalinin (105kD), BM600 (100kD), Herlitz junctional epidermolysis bullosa))
gene_531	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
gene_532	KIAA0281 gene product
gene_533	quinone oxidoreductase homolog
gene_534	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
gene_535	**secreted protein, acidic, cysteine-rich (osteonectin)
gene_536	nuclear receptor coactivator 3
gene_537	Human mRNA for unknown product, partial cds
gene_538	a disintegrin and metalloproteinase domain 9 (meltrin gamma)
gene_539	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)
gene_540	aldehyde dehydrogenase 1 family, member A2
gene_541	ESTs
gene_542	RAB18, member RAS oncogene family
gene_543	protein tyrosine phosphatase, receptor type, C
gene_544	high-mobility group (nonhistone chromosomal) protein isoforms I and Y
gene_545	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
gene_546	ESTs, Weakly similar to I39375 alpha-2-macroglobulin [H.sapiens]
gene_547	ESTs
gene_548	EphA1
gene_549	dual specificity phosphatase 5
gene_550	androgen induced protein
